Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Plot  Area,Ready To Move,Nagarbhavi,3 BHK,,600,2,1,80,13333
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1089,2,1,43.55,3999
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800,3,3,90,5000
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,960,2,1,18,1875
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036,2,3,39.35,3798
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3,3,105,6633
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3300,4,0,150,4545
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100,2,2,65,5909
Plot  Area,Ready To Move,Thyagaraja Nagar,1 BHK,,800,1,1,100,12500
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,65,5217
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2,3,28,3294
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2,2,51.51,4307
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3,2,114,6718
Built-up  Area,Ready To Move,TC Palaya,2 BHK,,1000,2,0,64,6400
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1567,3,3,90,5743
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,Co IIla,3750,6,3,290,7733
Super built-up  Area,Ready To Move,Veerannapalya,2 BHK,,950,2,2,45,4737
Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022,2,2,52,5088
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018,2,0,23.45,2304
Plot  Area,Ready To Move,Basavanagara,4 BHK,,2000,3,2,25,1250
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322,2,2,68,5144
Plot  Area,Ready To Move,Marsur,4 BHK,AreraRe,1800,4,2,145,8056
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1460,2,2,58.39,3999
Super built-up  Area,18-May,SRINIVASAPURA,2 BHK,,990,2,1,44.55,4500
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3,1,260,10833
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2,2,85,5199
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4,1,558,15825
Built-up  Area,Ready To Move,Padmanabhanagar,4 BHK,,3400,3,1,210,6176
Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,3,1,460,16606
Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533,3,2,85,5545
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720,3,1,134,7791
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2000,3,1,200,10000
Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185,2,2,75.84,6400
Super built-up  Area,19-Dec,Varthur Road,2 BHK,,900,2,1,27,3000
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395,1,1,10.25,2595
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2,1,56.35,5466
Plot  Area,Ready To Move,3rd Block Banashankari,6 BHK,,2400,8,2,650,27083
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650,4,2,240,9057
Plot  Area,Ready To Move,Basaveshwara Nagar,5 BHK,,2400,5,1,415,17292
Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259,2,2,57,4527
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570,3,2,88,5605
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,36,3349
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2,1,79,6497
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428,2,2,66,4622
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2,2,40.59,3499
Plot  Area,18-Feb, ittamadu,3 BHK,,600,2,1,110,18333
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475,3,2,70,4746
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1754,3,2,135,7697
Super built-up  Area,18-Feb,Rayasandra,3 BHK,,1639,3,1,83,5064
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3,2,102,5654
Plot  Area,18-Aug,Whitefield,3 BHK,,1200,3,2,56.2,4683
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1135,2,3,55,4846
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260,2,2,46.62,3700
Plot  Area,Ready To Move,Peenya,5 BHK,,1440,5,1,110,7639
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3,2,160,7407
Plot  Area,Ready To Move,Rayasandra,7 BHK,,700,6,,85,12143
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1220,2,2,59.5,4877
Plot  Area,Ready To Move,Margondanahalli,2 BHK,,1200,2,0,67,5583
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300,2,3,65,5000
Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605,1,1,29,4793
Plot  Area,Ready To Move,Vijayanagar,6 BHK,,1230,4,1,210,17073
Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2,1,75.97,5261
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,,924,2,1,45,4870
Super built-up  Area,18-Nov,Kaikondrahalli,2 BHK,,1000,2,1,30,3000
Plot  Area,Ready To Move,Vishveshwarya Layout,4 BHK,,600,4,0,95,15833
Plot  Area,Ready To Move,Patelappa Layout,3 BHK,,1200,3,3,225,18750
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2,1,29,3432
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,35,5000
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187,2,2,58,4886
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3,2,55,3385
Plot  Area,Ready To Move, Devarachikkanahalli,2 BHK,,1200,2,2,83,6917
Super built-up  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1452.55,2,3,110,7573
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",3 BHK,,2357,3,2,151,6406
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1200,2,1,49.5,4125
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2,2,56.85,4991
Built-up  Area,Ready To Move,Basavangudi,1 BHK,,600,1,0,97.5,16250
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660,3,3,75,4518
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2,3,105,8974
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448,2,2,68,4696
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762,3,3,110,6243
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2,1,38.65,3498
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3,1,105,5753
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296,1,0,22.89,7733
Plot  Area,Ready To Move,Kumbalgodu,5 BHK,,1200,4,1,85,7083
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,43,3629
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320,2,1,38.12,2888
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2,1,48,4537
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1220,2,2,60,4918
Super built-up  Area,18-Aug,Sarjapur,2 BHK,,925,2,1,25,2703
Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200,2,1,72,6000
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1160,2,2,40.6,3500
Plot  Area,Ready To Move,Kengeri Satellite Town,3 BHK,,600,4,3,72,12000
Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,,1411,3,2,91.72,6500
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3,2,78,5032
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4,3,230,7077
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475,4,,130,5253
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4,0,188,7511
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5,2,190,7528
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1063,2,2,42,3951
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1077,2,1,37.7,3500
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,3,2,44,3667
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,,1500,3,2,70,4667
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2,2,76.77,7346
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2,3,45.15,3500
Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2,1,78,5571
Built-up  Area,Ready To Move,Begur Road,3 BHK,,1600,3,2,58.14,3634
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,,3095,3,3,375,12116
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,1545,2,1,58,3754
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3,1,112,6667
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,,1350,2,1,67.5,5000
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,950,2,1,38,4000
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1050,2,2,45,4286
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1305,2,2,49,3755
Plot  Area,Ready To Move,Hosakerehalli,4 BHK,,800,4,2,120,15000
Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,,2700,7,2,125,4630
Plot  Area,Ready To Move,MS Pallya,3 BHK,,1100,3,1,78,7091
Built-up  Area,Ready To Move,Thanisandra,6 BHK,,3500,5,0,160,4571
Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3,1,83.33,5100
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2,2,85,6287
Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2,2,65,5677
Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,,1240,2,,43.79,3531
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3,2,190,8636
Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,,1020,2,1,39,3824
Super built-up  Area,Ready To Move,Palace Guttahalli,4 BHK,,3600,4,,365,10139
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2,1,61,5223
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205,2,1,75,6224
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195,2,2,100,8368
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1028,2,1,49,4767
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1175,2,2,48.27,4108
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550,2,2,90,5806
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,,1826,3,2,165,9036
Plot  Area,Ready To Move,Hoodi,5 BHK,,2400,5,2,160,6667
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603,3,2,96,5989
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1350,3,1,72,5333
Built-up  Area,Ready To Move,KR Puram,1 BHK,,714,1,1,28,3922
Super built-up  Area,18-Nov,Whitefield,2 BHK,,1215,2,3,65,5350
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2,2,77,5480
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142,2,1,51,4466
Built-up  Area,Ready To Move,Akshaya Vana,4 BHK,,4000,4,3,170,4250
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870,3,2,90,4813
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2,2,73,5560
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3,3,120,6170
Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573,3,2,95,6039
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255,2,1,92,7331
Super built-up  Area,Ready To Move,Benson Town,4 BHK,,1400,3,2,91.15,6511
Super built-up  Area,18-May,Kannamangala,2 BHK,,1235,2,2,43.63,3533
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2,1,52,3768
Plot  Area,Ready To Move,Ramamurthy Nagar,7 BHK,,1500,9,2,250,16667
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,,1465,2,3,74.72,5100
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2,2,103,7264
Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,,1650,3,1,165,10000
Built-up  Area,Ready To Move, Anekal,1 RK,,351,1,1,16,4558
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279,2,2,48,3753
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1870,3,1,200,10695
Plot  Area,Ready To Move,BCC Layout,4 BHK,,1500,5,1,230,15333
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526,2,2,250,9897
Plot  Area,Ready To Move,Mathikere,3 BHK,,1550,2,1,150,9677
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2,1,68.27,3700
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2,1,59.27,4358
Built-up  Area,Ready To Move,Friends Colony,3 BHK,,1150,2,1,75,6522
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2,2,49.5,3929
Plot  Area,Ready To Move,Doddabidrakallu,3 BHK,,1200,3,1,74,6167
Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965,2,1,42.5,4404
Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350,2,3,48,3556
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2,1,75.97,5250
Super built-up  Area,Ready To Move,Arehalli,3 BHK,,1229,3,1,86.03,7000
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2,2,43,4187
Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153,2,1,48.5,4206
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065,2,2,50,4695
Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030,2,3,61,5922
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,,1340,2,2,61,4552
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 BHK,,600,1,0,32,5333
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,44.42,3150
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055,2,2,45.35,4299
Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304,2,1,79,6058
Super built-up  Area,18-Feb,Sadashiva Nagar,4 BHK,,2720,4,1,485,17831
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2,1,31.5,3182
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2,1,39.33,3800
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,,1120,2,2,43,3839
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,73,5615
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2,1,82,6618
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365,2,1,92,6740
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2,1,135,11588
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,1130,2,3,45.19,3999
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3,2,105,5911
Plot  Area,Ready To Move,Vidyaranyapura,4 BHK,,900,4,3,175,19444
Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107,2,2,33,2981
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,2319,3,2,180,7762
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3,3,80,5263
Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536,3,1,89,5794
Built-up  Area,Ready To Move,Teachers Colony,4 BHK,,3000,4,2,240,8000
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2,1,38,3619
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3,2,146,7892
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112,2,2,62,5576
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1535,3,2,72.5,4723
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1050,2,1,35,3333
Plot  Area,Ready To Move,Banashankari,4 BHK,,2400,3,2,370,15417
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3,2,65,5200
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187,2,3,52,4381
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,,1164,2,1,56,4811
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395,2,1,62.78,4500
Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072,3,2,108,5212
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,60.91,4201
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3,2,82,5290
Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,,1315,2,2,90,6844
Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,3067,4,3,230,7499
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210,2,2,72,5950
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,47,4372
Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,Prowshi,11338,9,1,1000,8820
Super built-up  Area,18-May,Virgonagar,3 BHK,,1215,3,1,42.2,3473
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470,2,2,75,5102
Plot  Area,18-Jul,Dodsworth Layout,4 BHK,,30000,4,,2100,7000
Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2,2,125,7862
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050,2,1,36.75,3500
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2,1,55.91,4281
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2000,3,2,250,12500
Built-up  Area,Ready To Move,"Kudlu Village, ",3 BHK,,1445,3,2,64,4429
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3,2,58,4754
Plot  Area,Ready To Move,Sarjapur,4 BHK,Puodsm ,3190,3,1,160,5016
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215,2,1,51.26,4219
Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920,2,1,88,4583
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1390,2,2,60,4317
Plot  Area,Ready To Move,Battarahalli,3 BHK,,800,2,1,75,9375
Plot  Area,Ready To Move,Nagarbhavi,3 BHK,,600,3,2,100,16667
Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196,2,0,71.74,5998
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550,2,2,75,4839
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,101,7123
Super built-up  Area,19-Mar,Varthur Road,3 BHK,,1655,3,2,115,6949
Built-up  Area,Ready To Move,KR Puram,2 BHK,SancyRe,1115,2,2,33.45,3000
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,NCiteEl,1170,2,2,68,5812
Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035,2,2,38.3,3700
Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1306,2,2,58,4441
Super built-up  Area,18-Dec,Kengeri,2 BHK,VBn 2lm,750,2,2,22,2933
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917,3,3,122,6364
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Frowsru,1615,3,3,58,3591
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1071,2,2,52.25,4879
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Suryais,1325,2,2,119,8981
Plot  Area,Ready To Move,Malleshwaram,7 BHK,,3000,4,2,900,30000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1400,2,1,88,6286
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1246,2,1,82,6581
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa It ,1215,2,0,40,3292
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200,2,2,49.5,4125
Plot  Area,Ready To Move,Kurubarahalli,4 BHK,,450,3,1,53,11778
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1200,2,2,60,5000
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,945,2,2,50,5291
Super built-up  Area,Ready To Move,Benson Town,4 BHK,,4460,5,,650,14574
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175,2,1,52,4426
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920,2,1,63,6848
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5,1,350,11574
Plot  Area,Ready To Move,Bidadi,2 BHK,,1600,2,2,110,6875
Plot  Area,Ready To Move,Sanjay nagar,4 BHK,,750,2,0,110,14667
Plot  Area,Ready To Move,Sector 4 HSR Layout,4 BHK,,2400,4,,700,29167
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955,1,2,34.01,3561
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,3,100,5714
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425,2,2,64,4491
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150,3,2,265,12326
Super built-up  Area,20-Dec,Whitefield,2 BHK,,1165,2,1,40.5,3476
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050,2,2,48,4571
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370,2,2,75,5474
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374,2,1,72,5240
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3,2,124,7070
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,110,5956
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850,4,3,139,7514
Plot  Area,18-May,Chikka Tirupathi,3 BHK,Theanmp,3297,3,1,135,4095
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187,2,2,45,3791
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1400,2,1,40.44,2889
Plot  Area,Ready To Move,Kengeri Hobli,3 BHK,,600,2,0,30,5000
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,1350,2,3,180,13333
Plot  Area,Ready To Move,Doddaballapur,3 BHK,Raourpl,3000,2,2,120,4000
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1,1,34.3,4949
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980,3,2,224,11313
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021,2,1,48,4701
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165,2,2,95,8155
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756,3,2,92,5239
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739,3,1,105,6038
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280,2,,65,5078
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2,2,58.86,4844
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950,2,1,46.5,4895
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1082,2,1,49,4529
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080,2,0,53.35,4940
Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100,2,2,55,5000
Plot  Area,Ready To Move,Ardendale,4 BHK,Aling10,3200,4,1,205,6406
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311,2,1,78,5950
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3,1,67.98,4228
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2,2,36,3103
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170,2,1,71,6068
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1155,2,2,40.6,3515
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,77.68,6190
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,,1065,2,2,44.95,4221
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674,1,1,21,3116
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1936,4,2,126,6508
Super built-up  Area,18-Dec,Sarakki Nagar,3 BHK,,2289,3,2,260,11359
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,,1100,2,1,38.45,3495
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,4,2,157,6956
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1055,2,2,55,5213
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3,3,51.87,3390
Super built-up  Area,Ready To Move,Dinnur,3 BHK,,1700,3,1,97,5706
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575,2,2,78,4952
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,3500,4,2,330,9429
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263,2,1,93.32,7389
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043,2,2,65,6232
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,2,53.5,4263
Super built-up  Area,18-Dec,Chandapura,1 BHK,Siageal,590,1,0,13.57,2300
